1,1,226,0,-6
2,4,400,0,-381
3,6,400,0,2710
4,0,34,1,266
5,4,400,0,1703
6,5,345,1,2350
7,7,400,0,2076
8,2,165,1,-219
9,2,353,0,2467
10,0,13,1,42
11,1,400,0,1018
12,1,300,0,-1105
13,5,400,0,2243
14,1,34,1,316
15,1,400,0,53
16,5,259,1,1918
17,0,43,1,398
18,1,21,1,222
19,0,15,1,115
20,7,400,0,3156
21,1,16,1,147
22,6,400,0,2627
23,4,377,1,2774
24,0,14,1,56
25,2,400,0,2155
26,0,103,1,-322
27,1,400,0,-70
28,0,27,1,203
29,2,95,1,551
30,0,290,0,-1253
31,2,400,0,2793
32,5,214,1,1611
33,0,400,0,1371
34,1,15,1,120
35,2,135,1,1197
36,13,400,0,3091
37,0,80,1,-13
38,1,400,0,2634
39,2,374,0,1712
40,1,117,1,1032
41,4,400,0,2724
42,4,81,1,818
43,0,21,1,178
44,1,34,1,350
45,3,273,1,1841
46,0,34,1,323
47,0,48,1,431
48,0,6,1,61
49,0,49,1,-75
50,1,20,1,233
51,5,220,1,1700
52,1,268,1,-1799
53,0,400,0,-3264
54,1,42,1,396
55,10,305,0,2268
56,5,400,0,2198
57,2,89,1,855
58,4,400,0,506
59,1,16,1,122
60,2,61,1,518
61,5,284,0,1968
62,3,90,1,848
63,2,141,1,1192
64,0,388,1,2766
65,1,380,1,453
66,0,80,1,691
67,3,299,1,2424
68,0,169,1,-795
69,0,49,1,326
70,0,14,1,56
71,1,22,1,247
72,3,96,1,793
73,1,37,1,386
74,0,22,1,175
75,2,400,0,-795
76,7,400,0,-480
77,5,146,1,1389
78,7,304,1,1606
79,6,293,1,2038
80,0,269,1,-1369
81,4,392,1,2536
82,1,71,1,674
83,2,106,1,550
84,3,170,1,81
85,0,59,1,-79
86,1,34,1,332
87,1,283,0,-783
88,1,15,1,148
89,0,14,1,41
90,2,400,0,959
91,0,14,1,48
92,2,34,1,320
93,0,88,1,750
94,11,400,0,2724
95,6,400,0,2523
96,1,41,1,403
97,4,258,1,1061
98,8,295,0,1838
99,2,81,1,678
100,0,28,1,248
101,5,400,0,2839
102,2,400,0,1111
103,0,89,1,756
104,12,367,0,834
105,1,41,1,414
106,4,128,1,926
107,0,22,1,175
108,2,74,1,695
109,3,313,1,1960
110,0,6,1,30
111,6,264,1,1776
112,3,400,0,1305
113,0,42,0,5
114,0,6,1,25
115,1,21,1,211
116,3,239,1,2081
117,4,400,0,1521
118,0,20,1,203
119,0,83,1,-287
120,2,280,1,1712
121,3,305,1,857
122,1,22,1,250
123,0,21,1,176
124,3,392,0,-231
125,4,399,1,2264
126,0,15,1,100
127,4,400,0,2870
128,4,400,0,1667
129,4,400,0,1455
130,3,140,1,931
131,2,50,1,399
132,0,98,1,-75
133,1,35,1,368
134,0,161,1,-602
135,3,277,1,1468
136,4,165,1,-177
137,0,328,1,2314
138,1,279,1,-1231
139,1,400,0,1712
140,2,146,0,-40
141,6,400,0,2491
142,2,92,1,848
143,1,400,0,-965
144,9,265,0,1866
145,2,73,1,810
146,1,32,1,277
147,6,400,0,1884
148,3,400,0,2311
149,4,400,0,2414
150,5,270,1,1746
151,1,220,1,182
152,3,314,1,1959
153,6,305,0,2463
154,12,400,0,3300
155,4,400,0,136
156,3,112,1,729
157,2,368,1,448
158,0,83,1,57
159,0,14,1,41
160,2,283,1,1760
161,5,195,0,1247
162,2,292,1,2471
163,1,400,0,-614
164,3,91,1,688
165,2,126,1,-37
166,5,400,0,2903
167,2,189,1,1409
168,4,400,0,2827
169,0,21,1,176
170,0,27,1,193
171,1,133,1,168
172,0,164,0,-167
173,2,105,1,863
174,9,400,0,3255
175,4,193,1,1605
176,2,218,0,239
177,0,6,1,19
178,3,341,1,2000
179,1,15,1,185
180,10,347,0,992
181,3,400,0,2395
182,1,36,1,291
183,5,332,0,2226
184,1,262,1,-1067
185,0,335,1,-1454
186,11,400,0,425
187,3,400,0,2216
188,3,54,1,487
189,5,400,0,1430
190,4,400,0,2213
191,1,87,1,901
192,8,400,0,717
193,2,220,1,-803
194,4,374,1,2349
195,1,213,1,1263
196,3,162,1,1203
197,2,307,1,2104
198,2,316,1,1075
199,4,400,0,2620
200,0,125,1,-526
201,0,41,1,311
202,1,85,1,759
203,12,400,0,2870
204,2,342,0,2150
205,1,15,1,135
206,2,247,1,283
207,1,172,1,-352
208,3,390,0,685
209,1,64,1,659
210,0,22,1,168
211,4,189,1,1350
212,10,400,0,2790
213,5,369,1,2461
214,0,65,1,194
215,4,400,0,434
216,1,192,0,-643
217,3,268,1,1807
218,0,14,1,49
219,2,338,1,2025
220,3,178,1,1331
221,4,393,1,1400
222,1,29,1,283
223,10,400,0,-5
224,0,22,1,183
225,4,400,0,-858
226,2,48,1,591
227,1,15,1,143
228,3,400,0,1419
229,0,14,1,56
230,5,400,0,1995
231,5,309,1,2521
232,2,400,0,522
233,3,340,1,2631
234,2,288,1,1329
235,9,341,0,1050
236,3,331,1,503
237,6,400,0,-231
238,2,400,0,1739
239,10,400,0,872
240,7,318,0,2112
241,2,61,1,429
242,1,113,1,29
243,0,400,0,-1841
244,3,400,0,2511
245,7,400,0,2989
246,0,56,1,-11
247,0,400,0,-2055
248,0,15,1,149
249,1,48,1,444
250,2,400,0,-9
251,1,110,1,998
252,4,327,1,2249
253,7,400,0,1238
254,2,400,0,990
255,2,241,1,166
256,2,129,1,953
257,11,358,0,1905
258,7,336,0,2220
259,0,67,1,-46
260,0,400,0,-680
261,4,153,1,1042
262,5,385,0,2937
263,0,232,1,-849
264,7,321,0,1839
265,9,386,0,-333
266,1,15,1,148
267,2,70,1,703
268,1,64,1,473
269,5,400,0,2613
270,2,124,1,664
271,1,15,1,148
272,2,352,1,882
273,0,157,1,-387
274,1,400,0,-136
275,2,311,1,2533
276,4,129,1,1244
277,1,400,0,1483
278,0,22,1,175
279,2,31,1,363
280,0,20,1,122
281,0,70,1,618
282,0,122,1,-533
283,0,183,1,-68
284,11,400,0,3261
285,0,42,1,345
286,1,72,1,-51
287,5,400,0,2964
288,1,281,1,1545
289,10,369,0,2815
290,0,66,1,690
291,7,278,0,2026
292,0,265,1,-511
293,8,400,0,2746
294,2,262,1,-689
295,4,91,1,760
296,4,166,1,1610
297,0,181,1,-872
298,0,34,1,297
299,0,63,1,634
300,4,275,0,1241
301,1,64,1,574
302,2,56,1,652
303,2,21,1,225
304,0,6,1,6
305,1,71,1,567
306,4,343,1,2290
307,3,147,1,-81
308,0,42,1,284
309,2,211,1,1809
310,1,288,1,-89
311,0,20,1,203
312,5,119,1,1177
313,12,400,0,2961
314,0,201,1,-882
315,0,15,1,115
316,2,358,1,1863
317,0,400,0,1224
318,8,400,0,1043
319,3,93,1,835
320,0,20,1,203
321,4,314,1,2369
322,3,366,1,2696
323,4,289,1,2130
324,1,382,1,-653
325,1,48,1,454
326,3,400,0,2542
327,1,72,1,727
328,3,400,0,460
329,7,400,0,917
330,1,28,1,249
331,5,400,0,2375
332,1,400,0,-405
333,5,136,1,1042
334,1,15,1,143
335,2,232,1,826
336,0,15,1,112
337,4,400,0,2792
338,2,400,0,1605
339,5,210,1,1588
340,4,374,1,1626
341,0,82,1,706
342,0,77,1,577
343,0,161,1,-752
344,1,400,0,-951
345,2,16,1,161
346,2,106,1,-86
347,11,346,0,1301
348,1,242,1,-1128
349,4,313,0,2239
350,0,20,1,217
351,2,108,1,866
352,12,400,0,492
353,2,116,1,1162
354,3,388,0,1833
355,1,269,1,1712
356,4,181,1,1700
357,5,229,1,1914
358,0,166,0,-436
359,1,400,0,2917
360,0,21,1,184
361,0,21,1,194
362,0,57,1,525
363,1,15,1,135
364,0,68,1,-204
365,3,76,1,860
366,1,20,1,224
367,11,400,0,1670
368,2,400,0,2615
369,8,400,0,2559
370,3,400,0,2020
371,4,215,1,1709
372,1,52,1,475
373,0,50,1,-68
374,0,41,1,328
375,0,51,0,244
376,1,16,1,132
377,0,22,1,181
378,1,86,1,640
379,1,211,1,1707
380,7,399,0,3131
381,3,400,0,2721
382,2,85,1,441
383,5,367,0,1396
384,1,400,0,2185
385,2,36,1,413
386,1,400,0,-789
387,1,285,1,1592
388,2,338,1,1914
389,0,21,1,169
390,2,328,1,1119
391,0,20,1,217
392,3,374,1,2358
393,1,111,1,1091
394,0,7,1,3
395,1,42,1,290
396,2,400,0,182
397,2,150,1,1349
398,4,203,1,809
399,1,15,1,149
400,2,400,0,709
401,0,15,1,112
402,2,400,0,933
403,2,68,1,747
404,3,323,0,2333
405,7,221,0,1690
406,0,157,1,-728
407,1,22,1,232
408,1,400,0,-1482
409,1,400,0,-349
410,5,400,0,2520
411,0,15,1,120
412,2,110,1,925
413,1,400,0,-712
414,0,15,1,149
415,7,400,0,3194
416,5,302,1,2098
417,1,15,1,154
418,0,13,1,87
419,0,45,1,427
420,8,400,0,2937
421,1,260,1,1912
422,1,97,1,797
423,1,212,1,-403
424,1,312,1,2083
425,1,20,1,224
426,4,400,0,2734
427,2,302,1,2292
428,0,14,1,48
429,0,49,1,130
430,1,313,1,1031
431,0,287,1,-938
432,0,218,0,-767
433,2,78,1,251
434,10,379,0,2782
435,0,134,1,285
436,0,237,1,99
437,0,213,1,-977
438,4,400,0,312
439,11,343,0,2466
440,3,400,0,-348
441,2,53,1,594
442,4,374,1,454
443,1,35,1,316
444,2,400,0,2453
445,5,396,1,2396
446,0,184,1,-916
447,2,101,0,481
448,0,77,1,462
449,1,15,1,148
450,1,400,0,-644
451,1,280,1,1431
452,1,62,1,463
453,1,34,1,370
454,0,15,1,115
455,0,34,1,245
456,0,21,1,184
457,0,15,1,120
458,2,83,1,688
459,0,20,1,197
460,3,385,1,2465
461,4,298,1,2024
462,3,400,0,2027
463,3,400,0,1133
464,5,288,1,2058
465,0,189,1,-920
466,2,400,0,1585
467,0,184,1,-623
468,2,42,1,493
469,1,400,0,2886
470,4,400,0,2686
471,5,276,0,2080
472,4,400,0,2656
473,2,50,1,465
474,1,73,1,756
475,6,400,0,1233
476,0,22,1,190
477,0,41,1,307
478,1,21,1,225
479,6,329,0,2063
480,0,51,1,-92
481,1,62,1,614
482,3,380,1,1152
483,2,60,1,645
484,4,380,1,2085
485,2,50,1,569
486,3,400,0,2634
487,1,15,1,148
488,5,400,0,2823
489,0,21,1,177
490,13,400,0,3117
491,2,96,1,611
492,0,20,1,201
493,0,41,1,406
494,0,400,0,1153
495,1,64,1,602
496,0,14,1,39
497,7,400,0,3044
498,4,385,0,2609
499,0,27,1,203
500,0,36,1,357
501,13,400,0,3188
502,0,224,1,-1136
503,5,400,0,2208
504,2,88,1,564
505,6,243,1,1721
506,2,194,1,721
507,0,400,0,-973
508,3,268,1,797
509,1,148,1,503
510,1,35,1,294
511,4,308,0,2102
512,3,247,1,2038
513,0,14,1,56
514,2,196,1,84
515,0,13,1,109
516,3,279,0,1792
517,7,127,1,1170
518,0,15,1,105
519,3,178,1,1121
520,1,16,1,122
521,2,70,1,673
522,4,275,0,1508
523,1,15,1,143
524,4,273,1,1802
525,2,290,0,-1163
526,1,48,1,450
527,3,211,1,1614
528,0,50,1,394
529,5,400,0,1940
530,0,15,1,120
531,0,172,1,-146
532,5,400,0,2218
533,0,15,1,120
534,2,86,1,685
535,3,400,0,1580
536,0,36,1,257
537,4,318,1,1078
538,3,217,1,-157
539,2,400,0,1896
540,2,400,0,-329
541,9,400,0,2966
542,3,371,1,1923
543,0,15,1,134
544,1,15,1,140
