1,8,400
2,20,400
3,12,400
4,21,400
5,16,400
6,2,40
7,12,278
8,7,83
9,11,400
10,18,400
11,16,400
12,5,94
13,10,304
14,2,30
15,7,125
16,11,344
17,3,84
18,0,23
19,1,8
20,5,79
21,11,153
22,7,228
23,15,332
24,2,13
25,3,24
26,2,10
27,3,179
28,3,74
29,21,292
30,1,44
31,6,153
32,1,35
33,3,44
34,3,86
35,17,400
36,11,238
37,1,11
38,1,14
39,4,53
40,8,95
41,3,400
42,2,46
43,2,90
44,9,271
45,4,79
46,6,50
47,1,17
48,12,400
49,4,42
50,2,14
51,8,143
52,5,59
53,1,10
54,2,14
55,9,93
56,22,391
57,1,10
58,0,32
59,7,135
60,2,32
61,8,109
62,10,99
63,2,47
64,25,370
65,1,15
66,9,297
67,1,31
68,3,26
69,7,106
70,2,4
71,4,56
72,2,28
73,16,236
74,2,29
75,2,9
76,2,60
77,1,40
78,3,19
79,4,45
80,0,6
81,3,34
82,5,33
83,3,33
84,2,41
85,0,4
86,0,4
87,1,22
88,8,174
89,2,12
90,5,186
91,0,12
92,2,13
93,12,209
94,12,340
95,7,71
96,0,34
97,2,38
98,2,10
99,0,18
100,2,12
101,1,13
102,7,89
103,1,22
104,1,4
105,7,60
106,7,38
107,0,4
108,1,30
109,0,8
110,5,84
111,5,49
112,1,46
113,2,20
114,6,67
115,4,43
116,2,24
117,4,69
118,2,78
119,0,21
120,0,4
121,0,6
122,3,8
123,6,118
124,5,48
125,4,40
126,1,5
127,1,18
128,0,22
129,1,7
130,0,7
131,7,55
132,6,52
133,6,193
134,4,48
135,4,40
136,9,79
137,2,41
138,2,19
139,3,78
140,2,7
141,1,11
142,4,56
143,1,8
144,2,8
145,7,81
146,3,40
147,0,5
148,13,355
149,1,6
150,1,49
151,0,5
152,10,103
153,5,89
154,13,173
155,5,65
156,2,18
157,2,5
158,2,48
159,0,7
160,0,5
161,11,111
162,4,67
163,1,4
164,0,4
165,2,28
166,6,72
167,0,8
168,2,81
169,4,17
170,18,239
171,3,33
172,15,217
173,6,100
174,2,6
175,2,22
176,1,12
177,16,222
178,0,13
179,0,6
180,2,6
181,5,113
182,1,18
183,3,84
184,5,72
185,1,14
186,3,18
187,0,6
188,1,12
189,10,230
190,6,65
191,2,77
192,2,20
193,2,51
194,1,22
195,5,66
196,6,80
197,1,5
198,1,6
199,15,151
200,4,25
201,2,54
202,7,186
203,1,25
204,1,40
205,0,32
206,0,7
207,1,11
208,2,18
209,3,20
210,2,13
211,9,292
212,7,106
213,1,15
214,0,19
215,0,6
216,3,43
217,2,4
218,15,113
219,4,47
220,0,7
221,1,9
222,3,13
223,4,34
224,8,118
225,0,46
226,3,25
227,10,135
228,6,91
229,3,28
230,0,4
231,1,14
232,6,78
233,3,23
234,12,78
235,0,4
236,11,222
237,0,4
238,7,151
239,2,392
240,0,7
241,3,39
242,10,97
243,0,7
244,15,162
245,2,25
246,12,93
247,7,75
248,0,4
249,3,45
250,4,58
251,4,59
252,9,400
253,1,32
254,1,5
255,11,94
256,0,7
257,0,5
258,0,19
259,15,127
260,2,19
261,1,6
262,12,206
263,4,44
264,1,8
265,2,22
266,0,14
267,0,28
268,3,103
269,1,5
270,3,23
271,16,169
272,2,11
273,4,134
274,4,59
275,15,109
276,15,201
277,0,14
278,2,26
279,7,96
280,11,71
281,4,67
282,1,6
283,9,203
284,1,13
285,1,8
286,3,140
287,13,98
288,0,83
289,4,66
290,9,24
291,5,87
292,1,17
293,3,68
294,7,143
295,2,7
296,0,8
297,10,82
298,1,8
299,9,89
300,9,82
301,5,39
302,7,72
303,6,31
304,1,13
305,1,30
306,3,71
307,7,57
308,2,102
309,7,186
310,13,81
311,1,11
312,10,137
313,7,99
314,13,188
315,11,71
316,1,11
317,2,43
318,6,99
319,3,137
320,14,148
321,9,66
322,0,4
323,3,14
324,4,43
325,9,50
326,1,32
327,2,80
328,2,4
329,7,45
330,9,72
331,6,400
332,9,174
333,11,69
334,9,400
335,8,400
336,6,259
337,15,400
338,10,400
339,6,400
340,12,332
341,2,400
342,6,400
343,4,400
344,6,400
345,15,400
346,11,400
347,16,400
348,9,400
349,13,54
350,8,400
351,7,400
352,5,122
353,16,400
354,5,400
355,8,400
356,14,316
357,18,400
358,4,198
359,1,42
360,2,14
361,6,400
362,11,400
363,8,400
364,11,260
365,14,400
366,9,318
367,20,400
368,14,400
369,21,400
370,8,400
371,13,391
372,13,400
373,1,7
374,16,400
375,21,400
376,10,400
377,10,400
378,12,400
379,2,400
380,11,400
381,4,400
382,9,263
383,7,400
384,6,99
385,7,400
386,12,400
387,7,400
388,6,81
389,11,400
390,6,400
391,21,400
392,10,400
393,12,400
394,11,400
395,7,400
396,0,5
397,19,400
398,7,400
399,11,400
400,6,294
401,8,400
402,7,400
403,15,400
404,14,400
405,14,400
406,14,400
407,10,237
408,9,193
409,16,400
410,11,400
411,9,400
412,6,400
413,5,73
414,5,98
415,6,400
416,10,400
417,11,371
418,7,400
419,5,204
420,14,400
421,12,400
422,6,400
423,19,400
424,24,400
425,14,232
426,6,400
427,11,400
428,2,400
429,13,400
430,3,400
431,13,400
432,6,400
433,6,400
434,5,400
435,8,400
436,6,400
437,3,400
438,10,400
439,17,400
440,1,400
441,4,142
442,23,400
443,10,400
444,4,400
445,7,400
446,10,400
447,11,400
448,11,400
449,7,67
450,16,400
451,8,400
452,7,400
453,8,400
454,6,400
455,12,400
456,7,400
457,7,400
458,16,400
459,8,400
460,21,400
461,2,400
462,8,400
463,5,400
464,7,400
465,12,65
466,1,8
467,0,26
468,13,400
469,4,400
470,3,173
471,20,400
472,5,400
473,13,400
474,13,400
475,17,400
476,14,400
477,20,400
478,9,400
479,6,400
480,8,400
481,11,400
482,10,400
483,17,106
484,7,400
485,15,400
486,9,159
487,10,400
488,7,400
489,3,400
490,11,400
491,14,377
492,19,400
493,10,400
494,0,400
495,12,400
496,5,400
497,7,400
498,0,88
499,7,295
500,6,400
501,6,400
502,2,8
503,8,400
