1,0,18,-18
2,0,4,-73
3,0,6,-127
4,2,18,-62
5,0,6,-92
6,3,38,-58
7,0,8,-57
8,0,12,-139
9,2,45,-90
10,0,6,-124
11,0,6,-100
12,0,7,22
13,1,21,-115
14,0,7,-87
15,3,53,-107
16,2,19,39
17,0,10,-118
18,0,8,-114
19,0,4,-105
20,0,7,-45
21,0,7,-135
22,0,6,-112
23,7,114,-123
24,0,7,-6
25,0,6,-99
26,0,6,-94
27,1,23,-202
28,0,24,-71
29,0,12,-61
30,1,25,-68
31,0,6,-47
32,0,8,-60
33,0,8,-41
34,2,29,-143
35,1,27,-238
36,0,6,-104
37,0,7,-141
38,0,7,-133
39,2,26,-162
40,0,4,-80
41,3,51,-121
42,0,5,-151
43,0,7,-64
44,0,8,-56
45,5,90,-40
46,1,32,-194
47,3,38,-269
48,0,4,-17
49,0,6,-29
50,0,7,-105
51,0,6,-35
52,1,22,-97
53,0,4,-33
54,0,18,19
55,0,9,-85
56,0,8,-42
57,0,6,-50
58,0,4,-80
59,1,28,-63
60,1,31,32
61,1,16,-59
62,3,39,-52
63,0,4,-17
64,3,37,-92
65,1,20,-92
66,7,52,89
67,0,7,-36
68,0,15,-16
69,0,6,-44
70,2,46,-324
71,6,88,91
72,0,7,-129
73,0,9,-148
74,0,6,-92
75,0,7,-36
76,0,9,-60
77,2,23,-103
78,0,6,-2
79,0,9,-85
80,0,6,-103
81,0,6,-100
82,0,9,-98
83,1,22,-98
84,0,9,-48
85,3,42,-26
86,0,6,-102
87,1,19,-96
88,3,44,-36
89,0,9,-106
90,1,19,-97
91,0,7,-143
92,0,10,-100
93,0,8,-55
94,0,12,-75
95,0,11,-124
96,2,26,-156
97,1,21,-143
98,0,6,-92
99,0,7,-76
100,0,6,-102
101,0,14,-111
102,0,6,-110
103,4,81,-156
104,0,6,-55
105,0,4,-117
106,1,51,-218
107,4,58,13
108,0,11,-139
109,3,33,23
110,0,15,-81
111,0,6,-142
112,6,37,23
113,0,7,-147
114,2,33,-169
115,1,21,-117
116,0,7,-46
117,0,8,1
118,1,29,-89
119,0,9,-172
120,1,23,-150
121,2,16,-154
122,1,29,-28
123,1,24,-160
124,1,22,-127
125,0,25,-150
126,0,6,-147
127,1,18,-18
128,0,20,-72
129,0,5,-61
130,0,6,-93
131,4,50,-8
132,0,5,-66
133,0,16,-112
134,0,8,-78
135,0,17,-93
136,2,27,-42
137,0,7,-27
138,0,6,-147
139,0,23,-181
140,7,90,-71
141,0,6,-46
142,1,30,-134
143,0,6,-147
144,1,20,-96
145,0,6,-54
146,0,6,-93
147,0,6,-93
148,0,6,-35
149,3,19,-71
150,4,56,6
151,0,8,-55
152,2,31,-27
153,0,7,-30
154,2,18,-75
155,1,26,-69
156,1,28,-103
157,0,11,-70
158,0,7,-27
159,0,6,-110
160,1,35,-111
161,0,6,-94
162,2,21,-114
163,0,28,-37
164,0,14,-53
165,0,9,-79
166,0,17,-46
167,0,7,-35
168,0,9,-99
169,0,9,-85
170,0,6,-76
171,0,4,-118
172,1,26,2
173,1,26,-126
174,0,10,-103
175,3,49,-59
176,1,37,-75
177,0,9,-110
178,0,6,-150
179,1,30,-159
180,3,42,2
181,0,5,-151
182,0,4,-30
183,2,33,-111
184,3,31,18
185,1,29,-247
186,1,33,-141
187,2,24,-96
188,0,8,-51
189,1,25,-72
190,0,7,-55
191,2,21,-96
192,0,15,-32
193,0,6,-45
194,0,8,-126
195,0,10,-117
196,0,6,-54
197,1,17,-89
198,14,134,30
199,0,6,-42
200,1,37,-208
201,2,35,-193
202,6,70,-301
203,0,9,-60
204,2,29,7
205,3,58,-59
206,0,8,-95
207,0,8,4
208,1,19,-107
209,0,11,-62
210,0,8,-156
211,1,16,-136
212,0,6,-50
213,2,47,-146
214,0,5,-59
215,0,9,-50
216,0,6,-99
217,2,17,-96
218,0,6,-150
219,0,7,-88
220,1,21,-52
221,3,38,-113
222,0,15,-161
223,0,4,-62
224,0,6,-64
225,2,28,-40
226,0,8,-5
227,3,35,12
228,0,21,-33
229,1,35,-82
230,1,16,0
231,0,8,-64
232,1,24,-97
233,0,9,-68
234,1,20,-70
235,0,6,-140
236,0,6,-133
237,0,12,-133
238,2,51,-81
239,2,64,-110
240,0,12,-25
241,0,6,-84
242,0,6,-82
243,0,8,-5
244,1,24,-64
245,4,39,-166
246,1,23,-37
247,0,7,-32
248,0,10,-41
249,0,4,-106
250,2,13,5
251,0,14,-133
252,1,24,18
253,0,8,-118
254,3,40,-213
255,1,15,4
256,0,13,-82
257,7,62,146
258,0,6,-144
259,0,6,-92
260,0,6,-100
261,0,10,-57
262,0,6,-129
263,3,38,-63
264,0,7,-45
265,0,6,-120
266,0,12,-141
267,4,80,-106
268,0,10,-151
269,0,12,-162
270,0,6,-43
271,0,4,-25
272,2,29,-68
273,0,6,-153
274,0,6,-92
275,0,7,-160
276,3,52,-102
277,1,26,-52
278,0,9,-105
279,6,82,43
280,0,9,-29
281,0,25,-48
282,0,10,-43
283,0,16,-56
284,6,63,-4
285,0,4,-57
286,0,6,-44
287,0,8,-54
288,1,30,-114
289,0,10,-61
290,0,27,-285
291,0,6,-126
292,0,7,-8
293,5,44,-92
294,0,14,-122
295,0,7,-46
296,1,21,-114
297,3,43,-33
298,0,6,6
299,2,34,-53
300,1,16,-11
301,0,7,-90
302,0,6,-140
303,0,6,-43
304,0,6,-46
305,3,42,-71
306,1,17,-60
307,0,13,-270
308,0,9,-148
309,0,7,17
310,0,11,12
311,0,11,-49
312,1,58,-265
313,0,14,-129
314,0,7,-88
315,2,46,-64
316,0,7,-86
317,0,7,-111
318,0,24,-146
319,0,7,-65
320,2,44,-107
321,0,6,-78
322,1,24,-27
323,0,11,-142
324,0,8,-36
325,0,5,-71
326,2,41,-68
327,0,9,-71
328,0,5,-71
329,2,32,-100
330,0,120,-363
331,0,13,-116
332,0,8,-141
333,2,30,-44
334,3,41,7
335,0,10,-73
336,1,20,-202
337,2,21,-149
338,2,37,-153
339,4,59,-91
340,1,25,-92
341,0,8,-52
342,2,23,-17
343,7,91,-47
344,0,6,-69
